Site,Date,Time,Analyte,Result
SWB,2/6/2019,14:35,SpCond,580
SWB,2/6/2019,14:35,pH,7.35
SWB,2/6/2019,14:35,Turb,3.92
HAT,2/6/2019,13:41,Temp,16.2
HAT,2/6/2019,13:41,DO_Sat,84.9
HAT,2/6/2019,13:41,DO,8.32
HAT,2/6/2019,13:41,SpCond,59.6
HAT,2/6/2019,13:41,pH,5.9
HAT,2/6/2019,13:41,Turb,1.53
POSNW16,2/6/2019,12:33,Temp,17.7
POSNW16,2/6/2019,12:33,DO_Sat,98.5
POSNW16,2/6/2019,12:33,DO,9.36
POSNW16,2/6/2019,12:33,SpCond,236.7
POSNW16,2/6/2019,12:33,pH,7.54
POSNW16,2/6/2019,12:33,Turb,4.65
HOGDN,2/6/2019,12:08,Temp,16.7
HOGDN,2/6/2019,12:08,DO_Sat,49.7
HOGDN,2/6/2019,12:08,DO,4.82
HOGDN,2/6/2019,12:08,SpCond,227.3
HOGDN,2/6/2019,12:08,pH,6.9
HOGDN,2/6/2019,12:08,Turb,1.52
TUM441,2/20/2019,15:54,Temp,21.7
TUM441,2/20/2019,15:54,DO_Sat,109.2
TUM441,2/20/2019,15:54,DO,9.63
TUM441,2/20/2019,15:54,SpCond,397.8
TUM441,2/20/2019,15:54,pH,8.11
TUM441,2/20/2019,15:54,Turb,0.92
SWB,2/20/2019,15:30,Temp,22.2
SWB,2/20/2019,15:30,DO_Sat,99.8
SWB,2/20/2019,15:30,DO,8.66
SWB,2/20/2019,15:30,SpCond,646
SWB,2/20/2019,15:30,pH,7.44
SWB,2/20/2019,15:30,Turb,1.05
HAT,2/20/2019,14:40,Temp,19.6
HAT,2/20/2019,14:40,DO_Sat,79.4
HAT,2/20/2019,14:40,DO,7.27
HAT,2/20/2019,14:40,SpCond,72.2
HAT,2/20/2019,14:40,pH,6.02
HAT,2/20/2019,14:40,Turb,1.68
POSNW16,2/20/2019,13:31,Temp,20.3
POSNW16,2/20/2019,13:31,DO_Sat,100.5
POSNW16,2/20/2019,13:31,DO,760.9
POSNW16,2/20/2019,13:31,SpCond,261.8
POSNW16,2/20/2019,13:31,pH,7.61
POSNW16,2/20/2019,13:31,Turb,1.94
HOGDN,2/20/2019,12:55,Temp,19.9
HOGDN,2/20/2019,12:55,DO_Sat,85.1
HOGDN,2/20/2019,12:55,DO,7.74
HOGDN,2/20/2019,12:55,SpCond,259.5
HOGDN,2/20/2019,12:55,pH,7.28
HOGDN,2/20/2019,12:55,Turb,1.26
TUM441,3/22/2019,12:04,Temp,19.7
TUM441,3/22/2019,12:04,DO_Sat,133.9
TUM441,3/22/2019,12:04,DO,12.23
TUM441,3/22/2019,12:04,SpCond,393.8
TUM441,3/22/2019,12:04,pH,8.47
TUM441,3/22/2019,12:04,Turb,1.5
SWB,3/22/2019,11:45,Temp,19.7
SWB,3/22/2019,11:45,DO_Sat,98.6
SWB,3/22/2019,11:45,DO,8.99
SWB,3/22/2019,11:45,SpCond,756
SWB,3/22/2019,11:45,pH,7.53
SWB,3/22/2019,11:45,Turb,0.78
HAT,3/22/2019,11:07,Temp,14.8
HAT,3/22/2019,11:07,DO_Sat,85.2
HAT,3/22/2019,11:07,DO,8.61
HAT,3/22/2019,11:07,SpCond,82.5
HAT,3/22/2019,11:07,pH,6.89
HAT,3/22/2019,11:07,Turb,2.65
POSNW16,3/22/2019,10:26,Temp,14.3
POSNW16,3/22/2019,10:26,DO_Sat,99
POSNW16,3/22/2019,10:26,DO,10.12
POSNW16,3/22/2019,10:26,SpCond,286.1
POSNW16,3/22/2019,10:26,pH,7.71
