Site,Date,Time,Analyte,Result
SWB,2018-11-13,13:44:00,Temp,25.5
SWB,2018-11-29,13:15:00,Temp,18.2
SWB,2018-11-08,11:30:00,Temp,25.3
SWB,2018-12-20,12:37:00,Temp,17.8
SWB,2018-12-05,11:40:00,Temp,19.1
SWB,2019-02-06,14:35:00,Temp,20.6
TUM441,2019-01-18,11:43:00,Temp,16.7
TUM441,2019-01-25,12:12:00,Temp,15.2
TUM441,2019-01-04,11:28:00,Temp,21.9
TUM441,2018-10-18,09:36:00,Temp,25.9
TUM441,2018-10-31,12:44:00,Temp,23.3
TUM441,2018-11-13,14:05:00,Temp,25.1
TUM441,2018-11-29,14:17:00,Temp,14.5
TUM441,2018-11-08,11:11:00,Temp,25.7
TUM441,2018-12-20,12:53:00,Temp,17.4
TUM441,2018-12-05,11:47:00,Temp,16.4
TUM441,2019-02-06,14:53:00,Temp,20
TUM441,2018-09-14,09:45:00,Temp,27.1
HAT,2019-01-18,10:38:00,Turb,2.3
HAT,2019-01-25,11:13:00,Turb,2.75
HAT,2019-01-04,10:34:00,Turb,1.2
HAT,2018-10-18,10:55:00,Turb,NA
HAT,2018-10-31,11:32:00,Turb,1.6
HAT,2018-11-13,12:54:00,Turb,1.08
HAT,2018-11-29,12:37:00,Turb,1.86
HAT,2018-11-08,12:18:00,Turb,0.03
HAT,2018-12-20,11:51:00,Turb,2.63
HAT,2018-12-05,10:54:00,Turb,1.43
HAT,2019-02-06,13:41:00,Turb,1.53
HAT,2018-09-14,11:06:00,Turb,3.3
HOGDN,2019-01-18,09:14:00,Turb,1.15
HOGDN,2019-01-25,09:49:00,Turb,5.03
HOGDN,2019-01-04,09:15:00,Turb,1.18
HOGDN,2018-10-18,12:38:00,Turb,NA
HOGDN,2018-10-31,09:46:00,Turb,4
HOGDN,2018-11-13,11:17:00,Turb,1.75
HOGDN,2018-11-29,11:05:00,Turb,1.84
HOGDN,2018-11-08,13:45:00,Turb,2.05
HOGDN,2018-12-20,10:28:00,Turb,2.73
HOGDN,2018-12-05,09:29:00,Turb,1.71
HOGDN,2019-02-06,12:08:00,Turb,1.52
HOGNW16,2019-01-18,09:59:00,Turb,1.87
HOGNW16,2019-01-25,10:33:00,Turb,7.5
HOGNW16,2019-01-04,09:51:00,Turb,2.89
HOGNW16,2018-10-18,11:30:00,Turb,NA
HOGNW16,2018-10-31,10:36:00,Turb,1.8
HOGNW16,2018-11-13,12:13:00,Turb,1.45
HOGNW16,2018-11-29,11:47:00,Turb,1.75
HOGNW16,2018-11-08,12:53:00,Turb,0.96
HOGNW16,2018-12-20,11:11:00,Turb,30.47
HOGNW16,2018-12-05,10:12:00,Turb,1.9
HOGNW16,2018-09-14,13:25:00,Turb,1
POSNW16,2019-01-18,09:39:00,Turb,1.5
POSNW16,2019-01-25,10:14:00,Turb,5.03
POSNW16,2019-01-04,09:38:00,Turb,2.79
POSNW16,2018-10-18,11:55:00,Turb,NA
POSNW16,2018-10-31,10:15:00,Turb,2.5
POSNW16,2018-11-13,11:54:00,Turb,1.22
POSNW16,2018-11-29,11:30:00,Turb,1.18
POSNW16,2018-11-08,13:10:00,Turb,-0.05
POSNW16,2018-12-20,10:53:00,Turb,16.3
POSNW16,2018-12-05,09:59:00,Turb,2.08
POSNW16,2019-02-06,12:33:00,Turb,4.65
POSNW16,2018-09-14,12:55:00,Turb,5.6
SWB,2019-01-18,11:27:00,Turb,3.6
SWB,2019-01-25,11:57:00,Turb,2.2
SWB,2019-01-04,11:13:00,Turb,1.06
SWB,2018-10-18,10:13:00,Turb,NA
SWB,2018-10-31,12:21:00,Turb,1.1
SWB,2018-11-13,13:44:00,Turb,0.76
SWB,2018-11-29,13:15:00,Turb,1.29
SWB,2018-11-08,11:30:00,Turb,-0.37
SWB,2018-12-20,12:37:00,Turb,27.38
SWB,2018-12-05,11:40:00,Turb,1.4
SWB,2019-02-06,14:35:00,Turb,3.92
TUM441,2019-01-18,11:43:00,Turb,0.75
TUM441,2019-01-25,12:12:00,Turb,3.37
TUM441,2019-01-04,11:28:00,Turb,4.85
TUM441,2018-10-18,09:36:00,Turb,NA
TUM441,2018-10-31,12:44:00,Turb,0.7
TUM441,2018-11-13,14:05:00,Turb,0.37
TUM441,2018-11-29,14:17:00,Turb,0.64
TUM441,2018-11-08,11:11:00,Turb,-2.73
TUM441,2018-12-20,12:53:00,Turb,19.65
TUM441,2018-12-05,11:47:00,Turb,0.79
TUM441,2019-02-06,14:53:00,Turb,0.89
TUM441,2018-09-14,09:45:00,Turb,1
